cust_id,propensity
57782.0,0.006
286811.0,0.693
117823.0,0.004
213992.0,0.01
324756.0,0.43
425764.0,0.004
2934.0,0.814
99098.0,0.641
120076.0,0.029
272687.0,0.003
267856.0,0.814
72816.0,0.001
333425.0,0.001
340300.0,0.776
109149.0,0.001
56564.0,0.001
327695.0,0.002
121415.0,0.658
135475.0,0.002
123111.0,0.43
460198.0,0.781
470502.0,0.002
298001.0,0.815
289863.0,0.43
366881.0,0.038
354795.0,0.781
234722.0,0.814
145030.0,0.0
247634.0,0.814
334223.0,0.001
219786.0,0.658
368423.0,0.0
215693.0,0.001
245902.0,0.139
15508.0,0.002
426604.0,0.0
471471.0,0.001
477820.0,0.629
44423.0,0.002
290504.0,0.001
19435.0,0.001
233561.0,0.001
97275.0,0.002
300590.0,0.526
210794.0,0.658
290763.0,0.43
164680.0,0.814
481448.0,0.001
380926.0,0.001
361941.0,0.002
345676.0,0.814
463955.0,0.001
198974.0,0.658
225389.0,0.004
108177.0,0.693
423589.0,0.004
408711.0,0.837
95788.0,0.001
38980.0,0.658
158556.0,0.611
397108.0,0.819
70021.0,0.658
125375.0,0.658
20293.0,0.001
107824.0,0.001
170130.0,0.001
40607.0,0.001
63365.0,0.052
35399.0,0.843
213556.0,0.519
487215.0,0.0
88870.0,0.0
17317.0,0.843
491014.0,0.846
251993.0,0.428
494670.0,0.001
47465.0,0.001
435709.0,0.819
202013.0,0.0
265624.0,0.658
68150.0,0.0
251009.0,0.001
77902.0,0.001
331274.0,0.814
48944.0,0.658
250779.0,0.001
447089.0,0.001
375597.0,0.001
432875.0,0.001
282937.0,0.001
273279.0,0.428
268618.0,0.814
61521.0,0.776
182307.0,0.001
243458.0,0.658
213061.0,0.843
174001.0,0.807
335580.0,0.843
10883.0,0.001
192776.0,0.001
319944.0,0.001
310602.0,0.0
470565.0,0.001
362512.0,0.843
3287.0,0.0
219801.0,0.843
88750.0,0.526
43171.0,0.629
11493.0,0.814
343694.0,0.001
230793.0,0.764
222612.0,0.006
273235.0,0.0
455033.0,0.002
67185.0,0.629
4522.0,0.843
49962.0,0.43
245251.0,0.658
327457.0,0.629
344959.0,0.003
7232.0,0.43
16965.0,0.001
161570.0,0.004
137998.0,0.001
459975.0,0.001
288576.0,0.819
310375.0,0.0
353420.0,0.203
226293.0,0.526
317043.0,0.611
136646.0,0.773
455621.0,0.001
284376.0,0.098
314871.0,0.814
196073.0,0.611
273225.0,0.764
431864.0,0.001
281843.0,0.814
366355.0,0.43
299639.0,0.038
237561.0,0.001
450146.0,0.003
182009.0,0.001
493120.0,0.693
168568.0,0.001
367694.0,0.815
372951.0,0.428
472365.0,0.781
191728.0,0.001
13816.0,0.776
97294.0,0.002
326479.0,0.611
226875.0,0.006
315602.0,0.843
164530.0,0.052
243341.0,0.526
200412.0,0.0
233858.0,0.43
432725.0,0.001
362602.0,0.814
168001.0,0.001
